job_id,skill_id
1,1
1,90
1,91
1,92
1,93
2,66
2,69
2,71
2,9
2,51
2,55
3,1
3,2
3,33
3,5
3,109
3,110
3,111
3,122
4,2
4,36
4,69
4,12
4,51
4,52
4,53
4,54
4,122
4,124
5,5
5,69
5,7
5,71
5,41
5,51
5,21
5,55
5,23
6,1
6,66
6,67
6,69
6,70
6,71
6,72
6,73
6,18
7,1
8,1
8,69
8,71
8,87
8,88
8,90
8,92
9,64
9,109
9,112
9,113
9,63
10,51
10,12
10,54
11,12
13,120
13,121
14,1
14,66
14,67
14,68
14,69
14,70
14,71
14,101
14,74
14,113
14,18
14,58
17,88
18,66
18,67
18,71
18,109
18,51
18,53
18,60
19,66
19,67
19,101
19,71
19,74
19,109
19,113
19,53
19,58
21,1
21,33
21,34
21,5
21,69
21,39
21,101
21,12
21,21
21,23
21,24
23,12
23,109
23,54
24,12
24,109
24,54
27,32
30,32
31,101
32,12
32,54
33,1
33,65
33,66
33,67
33,5
33,38
33,69
33,71
33,51
33,20
33,21
33,84
33,122
33,123
33,61
36,51
36,12
36,54
37,64
37,71
38,88
43,101
43,9
43,88
43,121
43,120
44,112
44,109
44,71
46,64
46,71
47,101
47,115
47,61
47,47
51,101
51,108
51,109
51,12
51,120
51,121
52,122
53,88
53,1
53,101
53,5
56,112
57,101
57,102
57,108
57,120
57,121
57,122
58,96
58,1
58,69
58,12
58,81
58,87
58,88
58,90
58,94
59,112
59,109
59,71
61,32
61,47
61,48
61,20
61,88
61,121
61,120
62,71
63,112
64,109
65,12
65,20
65,52
65,54
65,55
65,56
65,88
66,64
66,113
66,71
68,112
68,113
68,12
68,109
69,113
70,1
70,2
70,101
70,5
70,70
70,103
70,104
70,108
70,120
70,122
70,126
71,33
71,5
71,6
71,51
71,52
71,55
71,122
72,69
72,47
72,48
72,115
72,122
72,61
73,32
73,98
73,88
73,121
73,120
74,81
74,1
74,82
74,12
76,5
76,12
76,47
76,48
76,20
76,54
76,122
77,5
77,12
77,47
77,48
77,20
77,54
77,122
78,32
78,121
78,98
78,120
79,32
81,64
81,108
81,12
81,88
81,121
81,122
81,120
82,112
84,88
85,113
85,109
88,112
89,122
89,91
90,32
90,48
90,20
90,47
91,1
91,20
91,5
91,52
93,101
94,1
94,71
94,47
94,88
94,63
95,1
95,33
95,34
95,5
95,37
95,38
