job_id,title,company_name,company_size,location,job_level,experience_year,salary_min,salary_max,is_negotiable,job_type,is_remote,posted_date,source,crawled_at,job_url,desc,req
1,Computer Vision Intern,Công Ty TNHH Phần Mềm Hoàn Cầu,,Hồ Chí Minh,Thực tập sinh,Không yêu cầu kinh nghiệm,1000000.0,,False,Toàn thời gian,False,6/23/2026,JobsGO,7/13/2026,https://jobsgo.vn/viec-lam/thuc-tap-sinh-computer-vision-27707189076.html,Hỗ trợ thu thập làm sạch gán nhãn annotation và tiền xử lý dữ liệu hình ảnh/video phục vụ huấn luyện mô hình Tham gia xây dựng huấn luyện training và đánh giá evaluation các mô hình Computer Vision cho các bài toán xử lý ảnh phát hiện đối tượng object detection phân loại ảnh classification nhận diện/trích xuất đặc trưng từ ảnh Thực hiện tiền xử lý ảnh resize augmentation cân bằng sáng tối chuẩn hóa để chuẩn bị dữ liệu đầu vào cho mô hình Thử nghiệm và so sánh các kiến trúc mô hình thư viện xử lý ảnh OpenCV và framework deep learning PyTorch/TensorFlow để tối ưu độ chính xác và hiệu năng Hỗ trợ tích hợp mô hình đã huấn luyện vào hệ thống/ứng dụng thực tế kiểm thử kết quả trên dữ liệu thật Viết tài liệu kỹ thuật báo cáo tiến độ và kết quả thử nghiệm mô hình theo định kỳ Tìm hiểu tổng hợp các bài báo khoa học kỹ thuật mới trong lĩnh vực Computer Vision và đề xuất áp dụng khi phù hợp Thực hiện các công việc khác theo phân công của Trưởng nhóm/Mentor trực tiếp.,Sinh viên năm cuối/vừa tốt nghiệp Đại học chuyên ngành Khoa học máy tính Thị giác máy tính Trí tuệ nhân tạo Có khả năng lập trình với các framework chuyên về Deep Learning như Tensorflow Pytorch ưu tiên pytorch trong nghiên cứu Nắm vững kiến thức nền tảng về mô hình học sâu xử lý ảnh và thuật toán thị giác máy tính Khả năng nắm bắt công việc nhanh tổ chức thực hiện công việc khoa học Khả năng tìm kiếm thông tin và đọc hiểu các tài liệu nghiên cứu bằng tiếng Anh Kỹ năng lập trình thành thạo với các ngôn ngữ phổ biến như Python C++ Có kinh nghiệm sử dụng các framework như Tensorflow PyTorch là một lợi thế Khả năng làm việc độc lập và làm việc nhóm tốt.
2,Golang Intern,Công Ty TNHH Zinza Technology,,Hà Nội,Thực tập sinh,Không yêu cầu kinh nghiệm,2000000.0,6000000.0,False,Bán thời gian,False,7/7/2026,JobsGO,7/13/2026,https://jobsgo.vn/viec-lam/golang-intern-27876790786.html,Hoàn thành training cơ bản về ngôn ngữ Golang cũng như sử dụng các framework của Golang Tham gia vào các dự án của công ty phát triển các sản phẩm ứng dụng security website service của khách hàng trong quá trình OJT Làm việc phối hợp công việc theo nhóm dưới sự phân công công việc của quản lý dự án.,Yêu thích lập trình Thích tìm hiểu công nghệ mới sẵn sàng học ngôn ngữ mới Hiểu cơ bản về ngôn ngữ Golang Cơ bản về linux Cơ bản về RDBMS Mysql/Mongodb Ưu tiên Đã có kinh nghiệm làm việc với các framework Go như Gin Echo etc Ưu tiên Có hiểu biết môi trường Linux Ubuntu etc Ưu tiên Có hiểu biết về git docker Ưu tiên Sinh viên năm 3 năm 4 chuyên ngành IT Ưu tiên Đã có kinh nghiệm deploy sản phẩm lên môi trường cloud server.
3,Automotive Cyber Security Engineer Intern,Công Ty CP Vietsol,100-499 nhân viên,Hà Nội,Nhân viên,Không yêu cầu kinh nghiệm,2000000.0,,False,Làm việc tại văn phòng / onsite,False,6/16/2026,TopCV,7/12/2026,https://www.topcv.vn/viec-lam/automotive-cyber-security-engineer-internship/1394910.html,Supporting threat analysis and risk assessment vulnerability analysis Supporting to define technical security requirements software security concepts develop security mechanisms Cyber Security testing like requirement based testing fuzz and penetration testing Create and implement test plan setting up the test environment and test execution Analysis of the test results and follow-up with internal stakeholders Generating the final test reports and performing risk assessment on open findings Supporting to train fresher intern regarding cybersecurity.,Sinh viên năm 3 4 hoặc mới tốt nghiệp các ngành An toàn thông tin. Kiến thức cơ bản về Security concept Automotive Networking Web API Security OWASP Top 10 Biết 1 trong số Java Python Node.js C C++ Java. Python. Node.js. C C++ Biết hoặc đã tìm hiểu CAN LIN UDS OBD-II. Biết sử dụng các công cụ CANoe SocketCAN caringcaribou. Đã từng làm project liên quan đến automotive IoT. Đã từng phát triển các công cụ hỗ trợ tự động hóa
4,Java Developer Intern,Công Ty TNHH Digital Innovation,10-24 nhân viên,Hà Nội,Thực tập sinh,Không yêu cầu kinh nghiệm,2000000.0,3000000.0,False,Làm việc tại văn phòng / onsite,False,6/26/2026,TopCV,7/12/2026,https://www.topcv.vn/viec-lam/thuc-tap-sinh-java-developer/2216025.html,Tham gia phát triển và bảo trì các chức năng Backend sử dụng Java dưới sự hướng dẫn của Senior/Team Lead Hỗ trợ xây dựng RESTful API phục vụ kết nối giữa Backend Frontend và các hệ thống liên quan Làm việc với cơ sở dữ liệu viết câu lệnh SQL cơ bản và hỗ trợ xử lý dữ liệu trong hệ thống Tham gia debug kiểm tra lỗi và hỗ trợ tối ưu code trong quá trình phát triển Phối hợp với BA Tester Frontend Developer và các thành viên trong team để hoàn thiện tính năng Tìm hiểu quy trình phát triển phần mềm coding convention và cách làm việc trong dự án thực tế Hỗ trợ viết tài liệu kỹ thuật tài liệu API hoặc tài liệu mô tả chức năng khi cần.,Sinh viên năm cuối hoặc mới tốt nghiệp chuyên ngành CNTT Khoa học máy tính hoặc các ngành liên quan Có kiến thức cơ bản về Java Core OOP Collection Exception Handling Có hiểu biết cơ bản về Spring Boot/Spring Framework là lợi thế Nắm được kiến thức cơ bản về RESTful API HTTP JSON và mô hình Client Server Có kiến thức cơ bản về cơ sở dữ liệu quan hệ như MySQL PostgreSQL SQL Server hoặc Oracle Biết sử dụng Git trong quá trình học tập/làm việc Có tư duy logic tốt chủ động học hỏi và có tinh thần trách nhiệm Ưu tiên ứng viên có project cá nhân hoặc từng thực tập/làm việc với Java.
5,PHP Intern,Công Ty TNHH Zinza Technology,,Hà Nội,Thực tập sinh,Không yêu cầu kinh nghiệm,2000000.0,6000000.0,False,Bán thời gian,False,7/7/2026,JobsGO,7/13/2026,https://jobsgo.vn/viec-lam/intern-php-27876845102.html,Hoàn thành training cơ bản về ngôn ngữ PHP cũng như sử dụng các framework của PHP Tham gia vào các dự án của công ty phát triển các sản phẩm ứng dụng website service của khách hàng trong quá trình OJT Làm việc phối hợp công việc theo nhóm dưới sự phân công công việc của quản lý dự án.,Đang là sinh viên năm 3 năm 4 học chuyên ngành CNTT ở các trường đại học Yêu thích lập trình thích tìm hiểu công nghệ mới sẵn sàng học ngôn ngữ mới Có kiến thức nền tảng tư duy tốt về cấu trúc dữ liệu và giải thuật Hiểu cơ bản về ngôn ngữ PHP và Laravel Cơ bản về linux Cơ bản về RDBMS Mysql/Mongodb Ưu tiên Điểm GPA cao đã từng có giải trong các cuộc thi về công nghệ có github riêng Ưu tiên Đã có kinh nghiệm làm việc với các framework PHP như Laravel Yii CakePHP etc Ưu tiên Đã có kinh nghiệm làm việc trên frontend với các framework JS như ReactJS VueJS etc Ưu tiên Có hiểu biết môi trường Linux CentOS Ubuntu etc Ưu tiên Đã có kinh nghiệm sử dụng môi trường cloud server.
6,DevOps Intern,Công Ty TNHH Zinza Technology,,Hà Nội,Thực tập sinh,Không yêu cầu kinh nghiệm,2000000.0,6000000.0,False,Bán thời gian,False,6/18/2026,JobsGO,7/13/2026,https://jobsgo.vn/viec-lam/devops-intern-27635967221.html,Nghiên cứu triển khai các giải pháp công nghệ sau Quản trị giám sát hệ thống máy chủ Linux. Triển khai nâng cấp môi trường dự án trên Kubernetes Native. Giám sát tối ưu hiệu năng của hệ thống. Tự động hóa CI/CD quản lý cấu hình như Ansible Terraform,Sinh viên năm 3 năm 4 chuyên ngành Công nghệ thông tin. Khả năng đọc hiểu Tiếng Anh tốt Sẵn sàng học hỏi những kiến thức công nghệ mới. Ưu tiên Có hiểu biết về môi trường Linux Ubuntu Debian Có kiến thức về git docker CI/CD shell python script
7,Data Scientist,Công Ty TNHH MTV Phần Mềm Tiếp Thị Thể Thao,Trên 300 nhân viên,Hồ Chí Minh,Nhân viên,3-5 năm,2000000.0,30000000.0,False,Toàn thời gian,False,6/17/2026,Vieclam24h,7/13/2026,https://vieclam24h.vn/it-phan-mem/data-scientist-tp-hcm-c8p122id200858187.html,,Có ít nhất 3 năm kinh nghiệm làm Nhà Khoa học Dữ liệu hoặc mô hình hóa dự đoán Nền tảng vững chắc về lý thuyết xác suất thống kê và phân tích chuỗi thời gian Kinh nghiệm làm việc với các tập dữ liệu tuần tự hoặc dựa trên sự kiện Kỹ năng Python mạnh mẽ Scikitlearn XGBoost hoặc tương tự Kinh nghiệm thiết kế các khuôn khổ đánh giá mô hình cho dữ liệu theo thời gian Hiểu biết về các hệ thống suy luận thời gian thực và triển khai sản xuất Tư duy giải quyết vấn đề và tư duy hệ thống mạnh mẽ.
8,AIoT & TinyML Intern,Công Ty CP Phần Mềm Tự Động Hóa Điều Khiển,,Hà Nội,Thực tập sinh,Không yêu cầu kinh nghiệm,3000000.0,5000000.0,False,Toàn thời gian,False,7/4/2026,JobsGO,7/13/2026,https://jobsgo.vn/viec-lam/thuc-tap-sinh-phat-trien-ai-nhung-aiot-tinyml-27852362165.html,Nghiên cứu Phát triển mô hình TinyML Nghiên cứu và thử nghiệm các framework TensorFlow Lite Micro Edge Impulse ESP-DL Plumerai AI Training và tối ưu hóa mô hình ML cho vi điều khiển model quantization pruning Đánh giá hiệu năng mô hình độ chính xác tốc độ inference tiêu thụ năng lượng. Nghiên cứu và thử nghiệm các framework TensorFlow Lite Micro Edge Impulse ESP-DL Plumerai AI. Training và tối ưu hóa mô hình ML cho vi điều khiển model quantization pruning Đánh giá hiệu năng mô hình độ chính xác tốc độ inference tiêu thụ năng lượng. Triển khai AI trên Embedded Systems Lập trình trên ESP32 ESP32-CAM và các nền tảng microcontroller khác Tích hợp mô hình TinyML vào firmware sản phẩm thực tế Tối ưu hóa code để đạt hiệu suất cao với tài nguyên hạn chế RAM Flash CPU Lập trình trên ESP32 ESP32-CAM và các nền tảng microcontroller khác. Tích hợp mô hình TinyML vào firmware sản phẩm thực tế. Tối ưu hóa code để đạt hiệu suất cao với tài nguyên hạn chế RAM Flash CPU Phát triển sản phẩm AIoT Xây dựng pipeline thu thập dữ liệu training deployment testing Phát triển tính năng OTA Over-The-Air update cho mô hình AI Tích hợp với các giao thức IoT WiFi BLE LoRaWAN MQTT. Xây dựng pipeline thu thập dữ liệu training deployment testing. Phát triển tính năng OTA Over-The-Air update cho mô hình AI. Tích hợp với các giao thức IoT WiFi BLE LoRaWAN MQTT. Đo lường Tối ưu Benchmark hiệu năng và năng lượng Debug và tối ưu các vấn đề về memory latency Viết tài liệu kỹ thuật và báo cáo nghiên cứu. Benchmark hiệu năng và năng lượng. Debug và tối ưu các vấn đề về memory latency. Viết tài liệu kỹ thuật và báo cáo nghiên cứu,Kiến thức nền tảng Sinh viên năm 4 đang tìm nơi thực tập hoặc còn nợ 1 số môn hoặc đang chờ bằng hoặc mới ra trường Tốt nghiệp ĐH ngành Điện tử Viễn thông Kỹ thuật máy tính CNTT hoặc tương đương Thành thạo C/C++ embedded hiểu Python dùng cho ML Kiến thức cơ bản về ML/DL. Sinh viên năm 4 đang tìm nơi thực tập hoặc còn nợ 1 số môn hoặc đang chờ bằng hoặc mới ra trường. Tốt nghiệp ĐH ngành Điện tử Viễn thông Kỹ thuật máy tính CNTT hoặc tương đương. Thành thạo C/C++ embedded hiểu Python dùng cho ML Kiến thức cơ bản về ML/DL. Kinh nghiệm thực tế Lập trình vi điều khiển ESP32 Arduino STM32 hoặc tương tự Từng làm 1 project với camera module hoặc xử lý cảm biến Sử dụng Git và Linux command line. Lập trình vi điều khiển ESP32 Arduino STM32 hoặc tương tự. Từng làm 1 project với camera module hoặc xử lý cảm biến. Sử dụng Git và Linux command line. Kỹ năng mềm Đam mê công nghệ ham học hỏi Tư duy logic giải quyết vấn đề tốt Làm việc độc lập nhóm Đọc hiểu tài liệu tiếng Anh chuyên ngành. Đam mê công nghệ ham học hỏi. Tư duy logic giải quyết vấn đề tốt. Làm việc độc lập nhóm. Đọc hiểu tài liệu tiếng Anh chuyên ngành
9,System Admin,Công Ty CP VNETWORK,,Hồ Chí Minh,Thực tập sinh,1-3 năm,3000000.0,8000000.0,False,Toàn thời gian,False,6/26/2026,JobsGO,7/13/2026,https://jobsgo.vn/viec-lam/system-admin-27762672870.html,Triển khai máy chủ dịch vụ hosting web server mail máy chủ ảo theo yêu cầu Triển khai cài đặt lắp đặt máy chủ network tại các IDC Xây dựng hệ thống monitoring và logging giúp theo dõi phân tích đánh giá rủi ro về các tình trạng hệ thống và phần cứng của servers và network Triển khai và quản lý nâng cấp phần cứng và phần mềm mạng bao gồm bộ định tuyến bộ chuyển mạch tường lửa và các thiết bị mạng khác Khắc phục sự cố và giải quyết các sự cố mạng bao gồm các sự cố về kết nối hiệu suất và bảo mật Duy trì tài liệu và kho lưu trữ mạng bao gồm sơ đồ mạng tệp cấu hình và cơ sở dữ liệu quản lý tài sản Vận hành hệ thống hạ tầng mô hình network Server cho các dịch vụ Bare Metal Server public/private cloud CDN Storage S3 Transcoding Streaming Mail Server đảm bảo hệ thống hoạt động ổn định và tối ưu nhất Triển khai dịch vụ và cung cấp theo yêu cầu của khách hàng Vận hành hệ thống hạ tầng Platform firewalls network hạ tầng cho các dịch vụ của doanh nghiệp Troubleshoot giải quyết các sự cố đưa ra các phương án xử lý kịp thời nhằm đảm bảo tính ổn định và sự hài lòng của khách hàng về sản phẩm dịch vụ của Công ty Phối hợp làm việc cùng các phòng ban để phát triển các tính năng công nghệ mới của sản phẩm dịch vụ của Công ty Kiểm tra hệ thống định kỳ và thực thi các kế hoạch bảo trì khi phát hiện sự cố và phối hợp đội nhóm nghiên cứu phương án xử lý Xây dựng lưu trữ và cập nhật các tài liệu hướng dẫn sản phẩm dịch vụ Thực hiện các công việc chuyên môn khác theo sắp xếp của Trưởng bộ phận.,Trình độ Cao đẳng Đại học chuyên ngành An ninh mạng Quản trị hệ thống hoặc các chuyên ngành liên quan Kinh nghiệm làm việc trong mảng System network hoặc quản trị hệ thống từ 03 năm trở xuống Am hiểu xử lý các lỗi cơ bản và thao tác thành thạo các dòng máy chủ Domain DNS Web Server Firewall Có kiến thức về ảo hóa đã từng triển khai xây dựng hệ thống ảo hóa vmware promox VE Opennebula AWS Azure Có kiến thức hoặc kinh nghiệm về các hệ thống giải pháp HA Load Balancing Storage Cloud Cluster Kỹ năng giao tiếp tốt kiên nhẫn quản lý được cảm xúc bản thân Khả năng tư duy và giải quyết vấn đề Chủ động Có trách nhiệm cao trong công việc và chịu được áp lực trong công việc Có khả năng đưa ra quyết định quản lý và đánh giá rủi ro Kỹ năng sử dụng tiếng Anh Việt nghe nói đọc viết Có chứng chỉ CCNA LPI1/2 hoặc tương đương là một lợi thế.
10,IT Support Intern,Công Ty CP Hosco,,Hà Nội,Thực tập sinh,Không yêu cầu kinh nghiệm,3000000.0,,False,Toàn thời gian,False,6/29/2026,JobsGO,7/13/2026,https://jobsgo.vn/viec-lam/thuc-tap-sinh-it-support-27778085035.html,Hỗ trợ cài đặt cấu hình và hướng dẫn sử dụng phần mềm quản lý bán hàng phần mềm quản lý doanh nghiệp cho nhân viên và khách hàng Tiếp nhận kiểm tra và xử lý các lỗi phần mềm cơ bản trong quá trình sử dụng Hỗ trợ truy vấn và xử lý dữ liệu bằng SQL theo hướng dẫn của bộ phận kỹ thuật Phối hợp với đội ngũ triển khai và lập trình để test ghi nhận và báo cáo lỗi hệ thống Thực hiện các công việc khác theo phân công của Trưởng bộ phận IT/Phát triển phần mềm.,Sinh viên năm 3 năm 4 chuyên ngành Công nghệ Thông tin Hệ thống thông tin quản lý hoặc tương đương Có kiến thức cơ bản về cơ sở dữ liệu biết sử dụng SQL Server hoặc MySQL Nắm được quy trình hoạt động cơ bản của hệ thống phần mềm quản lý doanh nghiệp Cẩn thận có tư duy logic kỹ năng giao tiếp và tinh thần học hỏi cao Ưu tiên ứng viên có thể thực tập toàn thời gian.
